City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,husavik,66.0449,-17.3389,38.641999999999996,97,100,2.77,IS,2022-11-06 20:49:18
161,mar del plata,-38.0023,-57.5575,63.08600000000007,89,0,8.49,AR,2022-11-06 20:49:18
162,miedzyrzecz,52.4446,15.578,41.68399999999999,71,100,4.09,PL,2022-11-06 20:49:18
163,ambovombe,-25.1667,46.0833,70.934,89,99,1.39,MG,2022-11-06 20:49:19
164,angoche,-16.2325,39.9086,73.54400000000007,87,58,3.93,MZ,2022-11-06 20:49:19
165,arcachon,44.5875,-1.0519,53.924000000000014,100,0,2.57,FR,2022-11-06 20:49:19
166,leopoldshohe,52.0125,8.6983,51.872000000000035,80,58,6.68,DE,2022-11-06 20:49:20
167,amuntai,-2.4177,115.2494,80.24000000000002,85,100,1.52,ID,2022-11-06 20:49:20
168,ancud,-41.8697,-73.8203,48.90200000000008,87,9,1.57,CL,2022-11-06 20:49:21
169,clyde river,70.4692,-68.5914,-0.16599999999995418,60,0,3.09,CA,2022-11-06 20:45:19
170,margate,51.3813,1.3862,54.30200000000008,87,74,2.68,GB,2022-11-06 20:49:21
171,khatanga,71.9667,102.5,-9.579999999999941,95,91,2.31,RU,2022-11-06 20:49:22
172,bredasdorp,-34.5322,20.0403,63.95,85,100,1.34,ZA,2022-11-06 20:49:22
173,makakilo city,21.3469,-158.0858,84.52400000000002,56,20,7.2,US,2022-11-06 20:49:22
174,burnie,-41.0667,145.9167,63.95,72,38,2.91,AU,2022-11-06 20:49:23
175,camacha,33.0833,-16.3333,63.82400000000001,82,40,1.54,PT,2022-11-06 20:49:23
176,talcahuano,-36.7167,-73.1167,55.07600000000009,82,0,5.66,CL,2022-11-06 20:49:23
177,castro,-24.7911,-50.0119,47.82200000000004,98,3,2.32,BR,2022-11-06 20:48:25
178,khani,41.9563,42.9566,44.168000000000085,82,80,2.73,GE,2022-11-06 20:49:24
179,yumen,40.2833,97.2,36.733999999999995,36,7,5.03,CN,2022-11-06 20:49:24
180,lagoa,39.05,-27.9833,64.61600000000001,78,100,12.72,PT,2022-11-06 20:49:24
181,yatou,37.15,122.3833,60.62000000000006,62,88,4.8,CN,2022-11-06 20:49:25
182,kavieng,-2.5744,150.7967,85.46000000000008,66,100,3.22,PG,2022-11-06 20:49:25
183,itaporanga,-7.3044,-38.1503,77.77400000000002,70,100,5.19,BR,2022-11-06 20:49:26
184,atambua,-9.1061,124.8925,85.91000000000008,55,100,1.2,ID,2022-11-06 20:49:26
185,ubata,-14.2139,-39.5228,67.71200000000006,83,98,1.01,BR,2022-11-06 20:49:26
186,provideniya,64.3833,-173.3,35.708000000000006,100,100,7.15,RU,2022-11-06 20:49:26
187,mushie,-3.0167,16.9,69.674,95,99,1.24,CD,2022-11-06 20:49:27
188,talara,-4.5772,-81.2719,63.35600000000003,82,0,5.14,PE,2022-11-06 20:49:27
189,nerchinskiy zavod,51.3088,119.61,17.438000000000045,82,61,1.82,RU,2022-11-06 20:49:28
190,nipawin,53.3668,-104.0009,19.43600000000007,79,100,7.72,CA,2022-11-06 20:49:28
191,meadow lake,34.8014,-106.5436,59.48600000000007,29,11,2.59,US,2022-11-06 20:49:28
192,la paz,-16.5,-68.15,49.98200000000001,53,40,3.6,BO,2022-11-06 20:45:03
193,mutsu,41.2894,141.2169,50.648000000000025,60,100,1.79,JP,2022-11-06 20:49:03
194,mul,20.0667,79.6667,69.22400000000002,71,38,0.61,IN,2022-11-06 20:49:29
195,chateaubelair,13.2833,-61.25,78.15200000000007,82,41,4.02,VC,2022-11-06 20:49:29
196,hovd,48.0056,91.6419,34.483999999999995,56,91,2.9,MN,2022-11-06 20:49:29
197,evensk,61.95,159.2333,28.291999999999994,94,100,2.75,RU,2022-11-06 20:49:30
198,tari,12.4086,4.4914,72.10400000000006,19,79,3.23,NG,2022-11-06 20:49:30
199,dzerzhinskoye,56.8344,95.2283,29.696000000000048,67,99,5.63,RU,2022-11-06 20:49:31
200,lata,40.1629,-8.3327,54.06800000000008,96,90,0.97,PT,2022-11-06 20:49:31
201,belogorsk,50.9158,128.4611,30.14600000000005,57,10,3.45,RU,2022-11-06 20:49:31
202,norman wells,65.282,-126.8329,3.236000000000068,85,20,2.06,CA,2022-11-06 20:49:31
203,te anau,-45.4167,167.7167,57.43399999999999,62,85,3.55,NZ,2022-11-06 20:49:32
204,lasa,46.6166,10.7002,36.35600000000003,51,55,1.47,IT,2022-11-06 20:44:49
205,yuryevets,57.3201,43.1041,32.05400000000005,84,100,6.05,RU,2022-11-06 20:49:32
206,grand gaube,-20.0064,57.6608,71.99600000000005,76,13,0.89,MU,2022-11-06 20:49:33
207,torbay,47.6666,-52.7314,54.75200000000008,97,100,6.17,CA,2022-11-06 20:44:40
208,praia da vitoria,38.7333,-27.0667,64.76000000000008,82,20,6.56,PT,2022-11-06 20:49:33
209,jalu,29.0331,21.5482,62.258,49,0,3.95,LY,2022-11-06 20:49:33
210,ostrovnoy,68.0531,39.5131,32.86400000000003,95,100,7.7,RU,2022-11-06 20:49:34
211,kutum,14.2,24.6667,65.58800000000005,29,1,2.8,SD,2022-11-06 20:49:34
212,bourail,-21.5667,165.4833,80.29400000000007,73,69,5.06,NC,2022-11-06 20:46:22
213,puerto escondido,15.85,-97.0667,81.35600000000002,83,19,1.29,MX,2022-11-06 20:49:34
214,belmonte,-15.8631,-38.8828,72.03200000000001,76,81,4.79,BR,2022-11-06 20:49:35
215,sabang,5.8933,95.3214,80.16800000000009,78,93,2.88,ID,2022-11-06 20:45:32
216,vangaindrano,-23.35,47.6,71.38399999999999,90,100,2.69,MG,2022-11-06 20:49:35
217,kyzyl-suu,42.3414,78.0056,40.208000000000006,72,94,1.93,KG,2022-11-06 20:49:35
218,umkomaas,-30.2067,30.7978,69.674,86,99,2.48,ZA,2022-11-06 20:49:36
219,esqueda,30.7167,-109.5833,59.55800000000001,32,0,2.61,MX,2022-11-06 20:49:36
220,ballangen,68.3428,16.8315,34.016000000000005,75,0,2.06,NO,2022-11-06 20:49:36
221,nesbyen,60.5681,9.1027,41.360000000000085,95,100,0.45,NO,2022-11-06 20:49:37
222,timra,62.487,17.3257,42.674000000000014,100,100,0.0,SE,2022-11-06 20:49:37
223,asau,46.4333,26.4,49.280000000000044,92,86,1.31,RO,2022-11-06 20:46:43
224,novyy urengoy,66.0833,76.6333,16.196000000000048,96,96,2.83,RU,2022-11-06 20:49:37
225,kushima,31.4583,131.2333,70.91600000000001,59,99,0.49,JP,2022-11-06 20:49:38
226,anori,-3.7728,-61.6442,76.82000000000006,80,19,1.17,BR,2022-11-06 20:49:38
227,biak,-0.9131,122.8766,83.69600000000005,68,100,2.16,ID,2022-11-06 20:49:38
228,xining,36.6167,101.7667,39.74000000000002,53,91,0.38,CN,2022-11-06 20:47:39
229,mahibadhoo,3.7833,72.9667,81.19400000000007,78,10,4.88,MV,2022-11-06 20:49:39
230,ha tinh,18.3333,105.9,71.87000000000006,82,79,2.31,VN,2022-11-06 20:49:39
231,mogzon,51.7435,111.9606,24.674000000000014,73,100,1.52,RU,2022-11-06 20:49:39
232,nabire,-3.3667,135.4833,86.57600000000009,65,28,2.22,ID,2022-11-06 20:49:40
233,hofn,64.2539,-15.2082,40.94600000000005,89,100,6.34,IS,2022-11-06 20:49:40
234,morehead,37.2711,-87.1764,58.85600000000003,66,0,0.0,US,2022-11-06 20:49:40
235,aykino,62.2248,49.9922,24.15200000000008,96,100,2.62,RU,2022-11-06 20:49:41
236,yabelo,4.8833,38.0833,56.444000000000074,87,92,2.84,ET,2022-11-06 20:49:41
237,hokitika,-42.7167,170.9667,56.55200000000008,67,100,1.91,NZ,2022-11-06 20:49:41
238,jiuquan,39.7432,98.5174,39.812000000000054,32,8,1.25,CN,2022-11-06 20:49:41
239,cayenne,4.9333,-52.3333,77.03600000000007,94,100,3.09,GF,2022-11-06 20:49:42
240,muisne,0.6,-80.0333,73.65200000000007,81,100,2.07,EC,2022-11-06 20:49:42
241,riyadh,24.6877,46.7219,66.34400000000008,32,14,2.81,SA,2022-11-06 20:49:42
242,faanui,-16.4833,-151.75,77.64800000000002,80,100,8.84,PF,2022-11-06 20:49:43
243,buin,-33.7333,-70.75,70.43000000000004,74,85,0.88,CL,2022-11-06 20:49:43
244,vao,-22.6667,167.4833,75.59600000000005,82,93,7.75,NC,2022-11-06 20:49:43
245,wuda,39.4994,106.7117,42.96200000000006,28,0,4.55,CN,2022-11-06 20:49:44
246,beyneu,45.3167,55.2,35.06000000000008,73,99,7.63,KZ,2022-11-06 20:49:44
247,constitucion,-35.3333,-72.4167,51.65600000000003,90,84,5.2,CL,2022-11-06 20:49:44
248,guaiba,-30.1139,-51.325,63.28399999999999,82,0,4.12,BR,2022-11-06 20:49:44
249,trat,12.5,102.5,83.87600000000009,79,100,2.32,TH,2022-11-06 20:49:45
250,saint george,37.1041,-113.5841,63.194000000000074,38,0,1.79,US,2022-11-06 20:49:45
251,tura,25.5198,90.2201,71.13200000000002,78,0,0.83,IN,2022-11-06 20:45:08
252,los llanos de aridane,28.6585,-17.9182,67.74800000000002,87,100,3.09,ES,2022-11-06 20:49:45
253,antofagasta,-23.65,-70.4,60.08000000000004,83,56,2.67,CL,2022-11-06 20:49:46
254,ust-kuyga,70.0167,135.6,3.902000000000079,96,100,3.15,RU,2022-11-06 20:49:46
255,sao filipe,14.8961,-24.4956,77.88200000000002,68,0,1.97,CV,2022-11-06 20:49:46
256,ambilobe,-13.2,49.05,69.74600000000005,87,0,1.67,MG,2022-11-06 20:46:15
257,kattivakkam,13.2167,80.3167,78.89000000000001,76,100,5.28,IN,2022-11-06 20:49:47
258,vestmannaeyjar,63.4427,-20.2734,42.49400000000007,65,35,3.87,IS,2022-11-06 20:49:47
259,mabaruma,8.2,-59.7833,75.03800000000004,90,43,1.13,GY,2022-11-06 20:49:47
260,moctezuma,29.8,-109.6667,65.71400000000003,31,0,0.67,MX,2022-11-06 20:49:48
261,marshall,34.3834,-86.3333,69.54800000000003,87,75,0.0,US,2022-11-06 20:49:48
262,verkhoyansk,67.5447,133.385,-0.09399999999997277,96,100,2.0,RU,2022-11-06 20:49:48
263,sitka,57.0531,-135.33,33.69199999999999,27,20,5.66,US,2022-11-06 20:49:48
264,sola,-13.8833,167.55,81.266,83,14,0.0,VU,2022-11-06 20:49:49
265,spanish town,17.9911,-76.9574,80.22200000000004,79,75,5.14,JM,2022-11-06 20:49:49
266,katsuura,35.1333,140.3,61.91600000000001,64,100,1.86,JP,2022-11-06 20:49:49
267,katobu,-4.9408,122.5276,84.308,72,100,0.68,ID,2022-11-06 20:49:50
268,bardsir,29.9227,56.5743,48.29000000000002,40,0,1.99,IR,2022-11-06 20:49:50
269,moerai,-22.4333,-151.3333,73.32800000000006,84,100,8.43,PF,2022-11-06 20:49:50
270,hasaki,35.7333,140.8333,66.29000000000002,53,100,4.22,JP,2022-11-06 20:49:51
271,champerico,14.3,-91.9167,80.02400000000002,81,100,1.47,GT,2022-11-06 20:49:51
272,namatanai,-3.6667,152.4333,84.63200000000002,70,100,2.63,PG,2022-11-06 20:49:51
273,korla,41.7597,86.1469,48.812000000000054,39,68,1.57,CN,2022-11-06 20:49:51
274,priargunsk,50.3691,119.1012,21.74000000000002,80,24,1.59,RU,2022-11-06 20:49:52
275,sakakah,29.9697,40.2064,60.36800000000009,45,97,2.5,SA,2022-11-06 20:49:52
276,fortuna,40.5982,-124.1573,49.352000000000075,93,100,0.45,US,2022-11-06 20:45:41
277,plettenberg bay,-34.0527,23.3716,66.32600000000009,80,100,1.65,ZA,2022-11-06 20:49:52
278,codrington,-38.2667,141.9667,71.69000000000003,60,6,1.81,AU,2022-11-06 20:46:11
